"Forest","Domain","HostName","Name","Site","IPv4Address","OperatingSystem","IsGlobalCatalog","IsReadOnly"
"fabrikam.com","fabrikam.com","DCFAB20.fabrikam.com","DCFAB20","HQ-Fabrikam","10.10.1.10","Windows Server 2016 Standard","True","False"
"fabrikam.com","fabrikam.com","DCFAB21.fabrikam.com","DCFAB21","DR-Fabrikam","10.10.2.10","Windows Server 2016 Standard","True","False"
"fabrikam.com","retail.fabrikam.com","DCRET20.retail.fabrikam.com","DCRET20","HQ-Fabrikam","10.10.1.20","Windows Server 2016 Standard","True","False"
"fabrikam.com","retail.fabrikam.com","DCRET21.retail.fabrikam.com","DCRET21","HQ-Fabrikam","10.10.1.21","Windows Server 2016 Standard","True","False"
"fabrikam.com","retail.fabrikam.com","DCRET22.retail.fabrikam.com","DCRET22","Hub-Central","10.10.5.20","Windows Server 2016 Standard","False","False"
"fabrikam.com","treasury.fabrikam.com","DCTRE20.treasury.fabrikam.com","DCTRE20","HQ-Fabrikam","10.10.1.30","Windows Server 2016 Standard","True","False"
"fabrikam.com","treasury.fabrikam.com","DCTRE21.treasury.fabrikam.com","DCTRE21","DR-Fabrikam","10.10.2.30","Windows Server 2016 Standard","True","False"
"fabrikam.com","branches.fabrikam.com","DCBR20.branches.fabrikam.com","DCBR20","Hub-Central","10.10.5.40","Windows Server 2016 Standard","True","False"
"fabrikam.com","branches.fabrikam.com","DCBR21.branches.fabrikam.com","DCBR21","Hub-Central","10.10.5.41","Windows Server 2016 Standard","True","False"
"fabrikam.com","branches.fabrikam.com","DCBR22.branches.fabrikam.com","DCBR22","Branch-North-01","10.10.11.40","Windows Server 2016 Standard","False","False"
"fabrikam.com","branches.fabrikam.com","DCBR23.branches.fabrikam.com","DCBR23","Branch-North-02","10.10.12.40","Windows Server 2016 Standard","False","False"
"fabrikam.com","branches.fabrikam.com","DCBR24.branches.fabrikam.com","DCBR24","Branch-South-01","10.10.21.40","Windows Server 2016 Standard","False","True"
